GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,FinalScore(PlayerName-0),FinalScore(Player-1),FinalScore(Player-0),FinalScore(PlayerName-1),OrdinalPosition(Player-1 rank),OrdinalPosition(PlayerName-0),OrdinalPosition(Player-1),OrdinalPosition(Player-0),OrdinalPosition(Player-0 rank),OrdinalPosition(PlayerName-1),PlayerType(PlayerType-1),PlayerType(PlayerType-0),Winner(PlayerIdx)
1950377550,TicTacToe,0,GAME_OVER,5,4,2,44,BasicMCTS,-1.0,1.0,FirstAction,2,BasicMCTS,2,1,1,FirstAction,FirstAction,BasicMCTS,0
-389679841,TicTacToe,0,GAME_OVER,5,4,2,45,BasicMCTS,-1.0,1.0,FirstAction,2,BasicMCTS,2,1,1,FirstAction,FirstAction,BasicMCTS,0
-1652369011,TicTacToe,0,GAME_OVER,5,4,2,46,BasicMCTS,-1.0,1.0,FirstAction,2,BasicMCTS,2,1,1,FirstAction,FirstAction,BasicMCTS,0
649728961,TicTacToe,0,GAME_OVER,7,6,2,47,BasicMCTS,-1.0,1.0,FirstAction,2,BasicMCTS,2,1,1,FirstAction,FirstAction,BasicMCTS,0
1939385821,TicTacToe,0,GAME_OVER,5,4,2,48,BasicMCTS,-1.0,1.0,FirstAction,2,BasicMCTS,2,1,1,FirstAction,FirstAction,BasicMCTS,0
-765151654,TicTacToe,0,GAME_OVER,5,4,2,49,BasicMCTS,-1.0,1.0,FirstAction,2,BasicMCTS,2,1,1,FirstAction,FirstAction,BasicMCTS,0
-382843140,TicTacToe,0,GAME_OVER,5,4,2,50,BasicMCTS,-1.0,1.0,FirstAction,2,BasicMCTS,2,1,1,FirstAction,FirstAction,BasicMCTS,0
1616233144,TicTacToe,0,GAME_OVER,5,4,2,51,BasicMCTS,-1.0,1.0,FirstAction,2,BasicMCTS,2,1,1,FirstAction,FirstAction,BasicMCTS,0
-1825767405,TicTacToe,0,GAME_OVER,5,4,2,52,BasicMCTS,-1.0,1.0,FirstAction,2,BasicMCTS,2,1,1,FirstAction,FirstAction,BasicMCTS,0
-1681345762,TicTacToe,0,GAME_OVER,5,4,2,53,BasicMCTS,-1.0,1.0,FirstAction,2,BasicMCTS,2,1,1,FirstAction,FirstAction,BasicMCTS,0
-1466223696,TicTacToe,0,GAME_OVER,5,4,2,54,BasicMCTS,-1.0,1.0,FirstAction,2,BasicMCTS,2,1,1,FirstAction,FirstAction,BasicMCTS,0
-898042700,TicTacToe,0,GAME_OVER,5,4,2,55,BasicMCTS,-1.0,1.0,FirstAction,2,BasicMCTS,2,1,1,FirstAction,FirstAction,BasicMCTS,0
-622095176,TicTacToe,0,GAME_OVER,7,6,2,56,BasicMCTS,-1.0,1.0,FirstAction,2,BasicMCTS,2,1,1,FirstAction,FirstAction,BasicMCTS,0
-1621553363,TicTacToe,0,GAME_OVER,5,4,2,57,BasicMCTS,-1.0,1.0,FirstAction,2,BasicMCTS,2,1,1,FirstAction,FirstAction,BasicMCTS,0
2021511387,TicTacToe,0,GAME_OVER,5,4,2,58,BasicMCTS,-1.0,1.0,FirstAction,2,BasicMCTS,2,1,1,FirstAction,FirstAction,BasicMCTS,0
-1677040338,TicTacToe,0,GAME_OVER,5,4,2,59,BasicMCTS,-1.0,1.0,FirstAction,2,BasicMCTS,2,1,1,FirstAction,FirstAction,BasicMCTS,0
1955989905,TicTacToe,0,GAME_OVER,5,4,2,60,BasicMCTS,-1.0,1.0,FirstAction,2,BasicMCTS,2,1,1,FirstAction,FirstAction,BasicMCTS,0
-1876231119,TicTacToe,0,GAME_OVER,5,4,2,61,BasicMCTS,-1.0,1.0,FirstAction,2,BasicMCTS,2,1,1,FirstAction,FirstAction,BasicMCTS,0
-1294795098,TicTacToe,0,GAME_OVER,5,4,2,62,BasicMCTS,-1.0,1.0,FirstAction,2,BasicMCTS,2,1,1,FirstAction,FirstAction,BasicMCTS,0
127372284,TicTacToe,0,GAME_OVER,5,4,2,63,BasicMCTS,-1.0,1.0,FirstAction,2,BasicMCTS,2,1,1,FirstAction,FirstAction,BasicMCTS,0
-991207967,TicTacToe,0,GAME_OVER,5,4,2,64,BasicMCTS,-1.0,1.0,FirstAction,2,BasicMCTS,2,1,1,FirstAction,FirstAction,BasicMCTS,0
1049258221,TicTacToe,0,GAME_OVER,5,4,2,65,BasicMCTS,-1.0,1.0,FirstAction,2,BasicMCTS,2,1,1,FirstAction,FirstAction,BasicMCTS,0
-2039767727,TicTacToe,0,GAME_OVER,5,4,2,66,BasicMCTS,-1.0,1.0,FirstAction,2,BasicMCTS,2,1,1,FirstAction,FirstAction,BasicMCTS,0
1908179359,TicTacToe,0,GAME_OVER,5,4,2,67,BasicMCTS,-1.0,1.0,FirstAction,2,BasicMCTS,2,1,1,FirstAction,FirstAction,BasicMCTS,0
1115136563,TicTacToe,0,GAME_OVER,5,4,2,68,BasicMCTS,-1.0,1.0,FirstAction,2,BasicMCTS,2,1,1,FirstAction,FirstAction,BasicMCTS,0
-1493045323,TicTacToe,0,GAME_OVER,5,4,2,69,BasicMCTS,-1.0,1.0,FirstAction,2,BasicMCTS,2,1,1,FirstAction,FirstAction,BasicMCTS,0
-394703714,TicTacToe,0,GAME_OVER,5,4,2,70,BasicMCTS,-1.0,1.0,FirstAction,2,BasicMCTS,2,1,1,FirstAction,FirstAction,BasicMCTS,0
-432712488,TicTacToe,0,GAME_OVER,5,4,2,71,BasicMCTS,-1.0,1.0,FirstAction,2,BasicMCTS,2,1,1,FirstAction,FirstAction,BasicMCTS,0
491282519,TicTacToe,0,GAME_OVER,5,4,2,72,BasicMCTS,-1.0,1.0,FirstAction,2,BasicMCTS,2,1,1,FirstAction,FirstAction,BasicMCTS,0
-884033504,TicTacToe,0,GAME_OVER,5,4,2,73,BasicMCTS,-1.0,1.0,FirstAction,2,BasicMCTS,2,1,1,FirstAction,FirstAction,BasicMCTS,0
991772015,TicTacToe,0,GAME_OVER,5,4,2,74,BasicMCTS,-1.0,1.0,FirstAction,2,BasicMCTS,2,1,1,FirstAction,FirstAction,BasicMCTS,0
-835279488,TicTacToe,0,GAME_OVER,5,4,2,75,BasicMCTS,-1.0,1.0,FirstAction,2,BasicMCTS,2,1,1,FirstAction,FirstAction,BasicMCTS,0
288423849,TicTacToe,0,GAME_OVER,5,4,2,76,BasicMCTS,-1.0,1.0,FirstAction,2,BasicMCTS,2,1,1,FirstAction,FirstAction,BasicMCTS,0
306462715,TicTacToe,0,GAME_OVER,5,4,2,77,BasicMCTS,-1.0,1.0,FirstAction,2,BasicMCTS,2,1,1,FirstAction,FirstAction,BasicMCTS,0
-1595934290,TicTacToe,0,GAME_OVER,5,4,2,78,BasicMCTS,-1.0,1.0,FirstAction,2,BasicMCTS,2,1,1,FirstAction,FirstAction,BasicMCTS,0
372545689,TicTacToe,0,GAME_OVER,5,4,2,79,BasicMCTS,-1.0,1.0,FirstAction,2,BasicMCTS,2,1,1,FirstAction,FirstAction,BasicMCTS,0
-1791317608,TicTacToe,0,GAME_OVER,5,4,2,80,BasicMCTS,-1.0,1.0,FirstAction,2,BasicMCTS,2,1,1,FirstAction,FirstAction,BasicMCTS,0
594493312,TicTacToe,0,GAME_OVER,5,4,2,81,BasicMCTS,-1.0,1.0,FirstAction,2,BasicMCTS,2,1,1,FirstAction,FirstAction,BasicMCTS,0
1375946348,TicTacToe,0,GAME_OVER,5,4,2,82,BasicMCTS,-1.0,1.0,FirstAction,2,BasicMCTS,2,1,1,FirstAction,FirstAction,BasicMCTS,0
-1004766817,TicTacToe,0,GAME_OVER,5,4,2,83,BasicMCTS,-1.0,1.0,FirstAction,2,BasicMCTS,2,1,1,FirstAction,FirstAction,BasicMCTS,0
714044006,TicTacToe,0,GAME_OVER,5,4,2,84,BasicMCTS,-1.0,1.0,FirstAction,2,BasicMCTS,2,1,1,FirstAction,FirstAction,BasicMCTS,0
346665430,TicTacToe,0,GAME_OVER,5,4,2,85,BasicMCTS,-1.0,1.0,osla,2,BasicMCTS,2,1,1,osla,osla,BasicMCTS,0
879079583,TicTacToe,0,GAME_OVER,5,4,2,86,BasicMCTS,-1.0,1.0,osla,2,BasicMCTS,2,1,1,osla,osla,BasicMCTS,0
-619666105,TicTacToe,0,GAME_OVER,7,6,2,87,BasicMCTS,-1.0,1.0,osla,2,BasicMCTS,2,1,1,osla,osla,BasicMCTS,0
503938916,TicTacToe,0,GAME_OVER,7,6,2,88,BasicMCTS,-1.0,1.0,osla,2,BasicMCTS,2,1,1,osla,osla,BasicMCTS,0
-428737539,TicTacToe,0,GAME_OVER,7,6,2,89,BasicMCTS,-1.0,1.0,osla,2,BasicMCTS,2,1,1,osla,osla,BasicMCTS,0
-1745970416,TicTacToe,0,GAME_OVER,7,6,2,90,BasicMCTS,-1.0,1.0,osla,2,BasicMCTS,2,1,1,osla,osla,BasicMCTS,0
-1436161366,TicTacToe,0,GAME_OVER,7,6,2,91,BasicMCTS,-1.0,1.0,osla,2,BasicMCTS,2,1,1,osla,osla,BasicMCTS,0
-1151041315,TicTacToe,0,GAME_OVER,5,4,2,92,BasicMCTS,-1.0,1.0,osla,2,BasicMCTS,2,1,1,osla,osla,BasicMCTS,0
697067980,TicTacToe,0,GAME_OVER,5,4,2,93,BasicMCTS,-1.0,1.0,osla,2,BasicMCTS,2,1,1,osla,osla,BasicMCTS,0
1168140970,TicTacToe,0,GAME_OVER,7,6,2,94,BasicMCTS,-1.0,1.0,osla,2,BasicMCTS,2,1,1,osla,osla,BasicMCTS,0
-1491060889,TicTacToe,0,GAME_OVER,5,4,2,95,BasicMCTS,-1.0,1.0,osla,2,BasicMCTS,2,1,1,osla,osla,BasicMCTS,0
-1819802610,TicTacToe,0,GAME_OVER,7,6,2,96,BasicMCTS,-1.0,1.0,osla,2,BasicMCTS,2,1,1,osla,osla,BasicMCTS,0
-2121274456,TicTacToe,0,GAME_OVER,7,6,2,97,BasicMCTS,-1.0,1.0,osla,2,BasicMCTS,2,1,1,osla,osla,BasicMCTS,0
259280696,TicTacToe,0,GAME_OVER,9,8,2,98,BasicMCTS,-1.0,1.0,osla,2,BasicMCTS,2,1,1,osla,osla,BasicMCTS,0
1706137030,TicTacToe,0,GAME_OVER,7,6,2,99,BasicMCTS,-1.0,1.0,osla,2,BasicMCTS,2,1,1,osla,osla,BasicMCTS,0
545138396,TicTacToe,0,GAME_OVER,7,6,2,100,BasicMCTS,-1.0,1.0,osla,2,BasicMCTS,2,1,1,osla,osla,BasicMCTS,0
1376458976,TicTacToe,0,GAME_OVER,5,4,2,101,BasicMCTS,-1.0,1.0,osla,2,BasicMCTS,2,1,1,osla,osla,BasicMCTS,0
1195311045,TicTacToe,0,GAME_OVER,5,4,2,102,BasicMCTS,-1.0,1.0,osla,2,BasicMCTS,2,1,1,osla,osla,BasicMCTS,0
813477029,TicTacToe,0,GAME_OVER,5,4,2,103,BasicMCTS,-1.0,1.0,osla,2,BasicMCTS,2,1,1,osla,osla,BasicMCTS,0
-1466178614,TicTacToe,0,GAME_OVER,5,4,2,104,BasicMCTS,-1.0,1.0,osla,2,BasicMCTS,2,1,1,osla,osla,BasicMCTS,0
-118322159,TicTacToe,0,GAME_OVER,5,4,2,105,BasicMCTS,-1.0,1.0,osla,2,BasicMCTS,2,1,1,osla,osla,BasicMCTS,0
-1428166355,TicTacToe,0,GAME_OVER,7,6,2,106,BasicMCTS,-1.0,1.0,osla,2,BasicMCTS,2,1,1,osla,osla,BasicMCTS,0
1144294523,TicTacToe,0,GAME_OVER,5,4,2,107,BasicMCTS,-1.0,1.0,osla,2,BasicMCTS,2,1,1,osla,osla,BasicMCTS,0
2100098225,TicTacToe,0,GAME_OVER,5,4,2,108,BasicMCTS,-1.0,1.0,osla,2,BasicMCTS,2,1,1,osla,osla,BasicMCTS,0
23994827,TicTacToe,0,GAME_OVER,5,4,2,109,BasicMCTS,-1.0,1.0,osla,2,BasicMCTS,2,1,1,osla,osla,BasicMCTS,0
1662792176,TicTacToe,0,GAME_OVER,5,4,2,110,BasicMCTS,-1.0,1.0,osla,2,BasicMCTS,2,1,1,osla,osla,BasicMCTS,0
2013120665,TicTacToe,0,GAME_OVER,9,8,2,111,BasicMCTS,-1.0,1.0,osla,2,BasicMCTS,2,1,1,osla,osla,BasicMCTS,0
-1880183632,TicTacToe,0,GAME_OVER,5,4,2,112,BasicMCTS,-1.0,1.0,osla,2,BasicMCTS,2,1,1,osla,osla,BasicMCTS,0
-1377239692,TicTacToe,0,GAME_OVER,7,6,2,113,BasicMCTS,-1.0,1.0,osla,2,BasicMCTS,2,1,1,osla,osla,BasicMCTS,0
1795532617,TicTacToe,0,GAME_OVER,5,4,2,114,BasicMCTS,-1.0,1.0,osla,2,BasicMCTS,2,1,1,osla,osla,BasicMCTS,0
-1548656463,TicTacToe,0,GAME_OVER,9,8,2,115,BasicMCTS,-1.0,1.0,osla,2,BasicMCTS,2,1,1,osla,osla,BasicMCTS,0
-653656736,TicTacToe,0,GAME_OVER,7,6,2,116,BasicMCTS,-1.0,1.0,osla,2,BasicMCTS,2,1,1,osla,osla,BasicMCTS,0
-400394132,TicTacToe,0,GAME_OVER,7,6,2,117,BasicMCTS,-1.0,1.0,osla,2,BasicMCTS,2,1,1,osla,osla,BasicMCTS,0
-1422203009,TicTacToe,0,GAME_OVER,5,4,2,118,BasicMCTS,-1.0,1.0,osla,2,BasicMCTS,2,1,1,osla,osla,BasicMCTS,0
-1113178468,TicTacToe,0,GAME_OVER,5,4,2,119,BasicMCTS,-1.0,1.0,osla,2,BasicMCTS,2,1,1,osla,osla,BasicMCTS,0
-175367348,TicTacToe,0,GAME_OVER,7,6,2,120,BasicMCTS,-1.0,1.0,osla,2,BasicMCTS,2,1,1,osla,osla,BasicMCTS,0
1362911089,TicTacToe,0,GAME_OVER,5,4,2,121,BasicMCTS,-1.0,1.0,osla,2,BasicMCTS,2,1,1,osla,osla,BasicMCTS,0
-347120262,TicTacToe,0,GAME_OVER,7,6,2,122,BasicMCTS,-1.0,1.0,osla,2,BasicMCTS,2,1,1,osla,osla,BasicMCTS,0
1416514647,TicTacToe,0,GAME_OVER,5,4,2,123,BasicMCTS,-1.0,1.0,osla,2,BasicMCTS,2,1,1,osla,osla,BasicMCTS,0
-1570736736,TicTacToe,0,GAME_OVER,7,6,2,124,BasicMCTS,-1.0,1.0,osla,2,BasicMCTS,2,1,1,osla,osla,BasicMCTS,0
-1532681659,TicTacToe,0,GAME_OVER,5,4,2,125,BasicMCTS,-1.0,1.0,osla,2,BasicMCTS,2,1,1,osla,osla,BasicMCTS,0
2038358424,TicTacToe,0,GAME_OVER,5,4,2,126,BasicMCTS,-1.0,1.0,osla,2,BasicMCTS,2,1,1,osla,osla,BasicMCTS,0
1950377550,TicTacToe,0,GAME_OVER,9,8,2,127,BasicMCTS,-1.0,1.0,osla,2,BasicMCTS,2,1,1,osla,osla,BasicMCTS,0
-389679841,TicTacToe,0,GAME_OVER,7,6,2,128,BasicMCTS,-1.0,1.0,osla,2,BasicMCTS,2,1,1,osla,osla,BasicMCTS,0
-1652369011,TicTacToe,0,GAME_OVER,9,8,2,129,BasicMCTS,-1.0,1.0,osla,2,BasicMCTS,2,1,1,osla,osla,BasicMCTS,0
649728961,TicTacToe,0,GAME_OVER,5,4,2,130,BasicMCTS,-1.0,1.0,osla,2,BasicMCTS,2,1,1,osla,osla,BasicMCTS,0
1939385821,TicTacToe,0,GAME_OVER,7,6,2,131,BasicMCTS,-1.0,1.0,osla,2,BasicMCTS,2,1,1,osla,osla,BasicMCTS,0
-765151654,TicTacToe,0,GAME_OVER,5,4,2,132,BasicMCTS,-1.0,1.0,osla,2,BasicMCTS,2,1,1,osla,osla,BasicMCTS,0
-382843140,TicTacToe,0,GAME_OVER,5,4,2,133,BasicMCTS,-1.0,1.0,osla,2,BasicMCTS,2,1,1,osla,osla,BasicMCTS,0
